iter	Passed	Remaining
0	0	69
1	1	60
2	1	58
3	2	57
4	2	56
5	3	55
6	4	54
7	4	53
8	5	53
9	5	52
10	6	52
11	7	51
12	7	50
13	8	50
14	8	49
15	9	48
16	9	48
17	10	47
18	10	46
19	11	46
20	12	45
21	12	44
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	41
28	16	40
29	17	39
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	35
39	23	35
40	24	34
41	25	34
42	25	34
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	28	30
49	29	29
50	29	28
51	30	28
52	31	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	36	21
63	37	21
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	56	0
