iter	Passed	Remaining
0	134	134409
1	135	67639
2	136	45391
3	137	34220
4	138	27510
5	139	23028
6	139	19841
7	140	17450
8	141	15595
9	142	14110
10	143	12891
11	144	11872
12	145	11008
13	145	10269
14	146	9614
15	147	9041
16	147	8540
17	148	8094
18	149	7698
19	149	7337
20	150	7006
21	150	6705
22	151	6440
23	152	6191
24	152	5958
25	153	5744
26	153	5548
27	154	5364
28	155	5193
29	155	5033
30	156	4892
31	157	4760
32	157	4629
33	158	4508
34	159	4392
35	159	4283
36	160	4178
37	161	4082
38	162	3992
39	162	3904
40	163	3825
41	165	3773
42	166	3700
43	167	3629
44	167	3562
45	168	3494
46	169	3429
47	169	3367
48	170	3307
49	171	3251
50	171	3197
51	172	3144
52	173	3094
53	173	3044
54	174	2995
55	174	2949
56	175	2905
57	176	2865
58	177	2825
59	177	2787
60	178	2749
61	179	2712
62	179	2676
63	180	2642
64	181	2608
65	181	2575
66	182	2543
67	183	2514
68	184	2485
69	184	2456
70	185	2429
71	186	2403
72	187	2378
73	188	2353
74	188	2327
75	189	2301
76	189	2276
77	190	2252
78	191	2228
79	191	2205
80	192	2182
81	193	2161
82	193	2138
83	194	2118
84	194	2098
85	195	2078
86	196	2058
87	196	2038
88	197	2020
89	198	2002
90	198	1984
91	199	1967
92	199	1949
93	200	1932
94	201	1919
95	202	1903
96	202	1888
97	203	1873
98	204	1859
99	204	1843
100	205	1828
101	206	1813
102	206	1799
103	207	1784
104	207	1770
105	208	1757
106	209	1745
107	209	1731
108	210	1719
109	210	1706
110	211	1693
111	212	1681
112	212	1669
113	213	1656
114	213	1645
115	214	1633
116	214	1620
117	215	1610
118	216	1601
119	216	1590
120	217	1581
121	218	1570
122	218	1561
123	219	1551
124	220	1542
125	221	1533
126	221	1523
127	222	1513
128	222	1504
129	223	1496
130	224	1489
131	225	1480
132	225	1472
133	226	1465
134	227	1458
135	228	1450
136	229	1442
137	229	1434
138	230	1427
139	231	1420
140	232	1414
141	232	1405
142	233	1397
143	233	1390
144	234	1384
145	235	1378
146	236	1370
147	236	1364
148	237	1357
149	238	1350
150	239	1344
151	239	1337
152	240	1330
153	241	1324
154	241	1317
155	242	1310
156	242	1304
157	243	1297
158	244	1290
159	244	1284
160	244	1276
161	245	1270
162	246	1265
163	247	1259
164	247	1253
165	248	1247
166	248	1241
167	249	1235
168	250	1229
169	250	1223
170	251	1218
171	251	1212
172	252	1206
173	252	1201
174	253	1196
175	254	1191
176	255	1186
177	255	1181
178	256	1175
179	257	1170
180	257	1165
181	258	1160
182	258	1155
183	259	1150
184	260	1145
185	260	1140
186	261	1136
187	262	1132
188	262	1127
189	263	1122
190	264	1118
191	264	1113
192	265	1109
193	265	1104
194	266	1100
195	267	1095
196	267	1090
197	268	1086
198	268	1082
199	269	1078
200	270	1074
201	271	1070
202	271	1066
203	272	1062
204	272	1058
205	273	1053
206	273	1049
207	274	1045
208	275	1041
209	275	1036
210	276	1033
211	277	1030
212	277	1026
213	278	1022
214	278	1018
215	279	1014
216	280	1010
217	280	1006
218	281	1002
219	281	998
220	282	994
221	282	991
222	283	987
223	284	984
224	284	980
225	285	977
226	286	973
227	286	970
228	287	967
229	287	963
230	288	960
231	289	956
232	289	953
233	290	949
234	290	946
235	291	943
236	292	940
237	292	937
238	293	933
239	293	930
240	294	927
241	294	923
242	295	920
243	296	917
244	296	914
245	297	910
246	297	907
247	298	904
248	298	901
249	299	898
250	300	895
251	300	892
252	301	889
253	302	887
254	302	884
255	303	881
256	303	878
257	304	875
258	304	872
259	305	869
260	306	866
261	306	864
262	307	861
263	308	859
264	308	856
265	309	853
266	309	850
267	310	847
268	310	844
269	311	842
270	312	839
271	312	836
272	313	833
273	313	831
274	314	829
275	315	826
276	315	824
277	316	821
278	316	818
279	317	816
280	318	813
281	318	811
282	319	808
283	319	805
284	320	803
285	320	800
286	321	798
287	322	796
288	322	794
289	323	791
290	324	789
291	324	787
292	325	785
293	326	783
294	326	781
295	327	779
296	328	777
297	329	775
298	330	773
299	330	771
300	331	769
301	332	767
302	332	765
303	333	764
304	334	761
305	335	760
306	335	758
307	336	756
308	337	754
309	338	752
310	338	750
311	339	749
312	340	747
313	341	744
314	341	742
315	342	740
316	342	738
317	343	736
318	343	733
319	344	732
320	345	730
321	345	728
322	346	726
323	346	723
324	347	721
325	348	719
326	348	717
327	349	715
328	349	713
329	350	711
330	350	709
331	351	707
332	352	705
333	353	704
334	353	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	358	684
344	359	683
345	360	681
346	360	679
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	667
353	364	665
354	365	663
355	365	662
356	366	660
357	367	658
358	368	657
359	368	655
360	369	653
361	370	652
362	370	650
363	371	648
364	372	647
365	372	645
366	373	643
367	374	642
368	374	641
369	375	639
370	376	637
371	376	636
372	377	634
373	378	633
374	379	631
375	379	630
376	380	628
377	380	626
378	381	625
379	382	623
380	383	622
381	383	620
382	384	618
383	384	617
384	385	615
385	386	614
386	386	612
387	387	611
388	388	609
389	388	607
390	389	606
391	390	604
392	390	603
393	391	601
394	391	600
395	392	598
396	393	597
397	393	595
398	394	594
399	395	592
400	395	591
401	396	589
402	396	588
403	397	586
404	398	585
405	399	583
406	399	582
407	400	580
408	400	579
409	401	577
410	401	575
411	402	574
412	402	572
413	403	571
414	404	569
415	404	567
416	405	566
417	405	565
418	406	563
419	407	562
420	407	560
421	408	559
422	408	557
423	409	555
424	409	554
425	410	552
426	410	551
427	411	549
428	412	548
429	412	547
430	413	545
431	414	544
432	414	543
433	415	541
434	415	540
435	416	538
436	416	537
437	417	535
438	418	534
439	418	532
440	419	531
441	419	530
442	420	529
443	421	527
444	421	526
445	422	524
446	423	523
447	423	521
448	424	520
449	424	519
450	425	517
451	425	516
452	426	514
453	426	513
454	427	512
455	428	511
456	429	509
457	429	508
458	430	507
459	430	505
460	431	504
461	431	503
462	432	501
463	433	500
464	433	498
465	434	497
466	434	496
467	435	495
468	436	493
469	436	492
470	437	491
471	438	489
472	438	488
473	439	487
474	439	485
475	440	484
476	440	483
477	441	482
478	441	480
479	442	479
480	443	478
481	443	477
482	444	475
483	445	474
484	445	473
485	446	472
486	447	471
487	447	469
488	448	468
489	449	467
490	449	466
491	450	464
492	451	464
493	452	463
494	452	461
495	453	460
496	453	459
497	454	458
498	455	456
499	455	455
500	456	454
501	456	453
502	457	451
503	457	450
504	458	449
505	459	448
506	460	447
507	460	446
508	461	444
509	461	443
510	462	442
511	462	441
512	463	439
513	463	438
514	464	437
515	465	436
516	465	435
517	466	434
518	467	433
519	468	432
520	468	430
521	469	429
522	470	428
523	470	427
524	471	426
525	471	425
526	472	424
527	473	422
528	473	421
529	474	420
530	475	419
531	475	418
532	476	417
533	476	416
534	477	414
535	477	413
536	478	412
537	479	411
538	479	410
539	480	409
540	480	408
541	481	407
542	482	405
543	482	404
544	483	403
545	483	402
546	484	401
547	485	400
548	485	399
549	486	397
550	486	396
551	487	395
552	488	394
553	488	393
554	489	392
555	490	391
556	490	390
557	491	389
558	491	387
559	492	386
560	492	385
561	493	384
562	493	383
563	494	382
564	494	381
565	495	379
566	496	379
567	496	377
568	497	376
569	498	375
570	498	374
571	499	373
572	500	372
573	500	371
574	501	370
575	502	369
576	502	368
577	503	367
578	504	366
579	505	365
580	505	364
581	506	363
582	507	362
583	507	361
584	508	360
585	508	359
586	509	358
587	509	357
588	510	356
589	510	355
590	511	354
591	512	353
592	513	352
593	513	351
594	514	350
595	514	349
596	515	347
597	516	346
598	516	345
599	517	344
600	517	343
601	518	342
602	519	341
603	519	340
604	520	340
605	521	338
606	522	338
607	522	337
608	523	336
609	524	335
610	524	334
611	525	333
612	526	332
613	527	331
614	528	330
615	529	329
616	529	328
617	530	327
618	531	327
619	531	326
620	532	325
621	533	324
622	533	323
623	534	322
624	535	321
625	536	320
626	536	319
627	537	318
628	538	317
629	538	316
630	539	315
631	540	314
632	540	313
633	541	312
634	542	311
635	542	310
636	543	309
637	544	308
638	544	307
639	545	306
640	546	305
641	546	304
642	547	303
643	547	302
644	548	301
645	549	301
646	550	300
647	550	299
648	551	298
649	552	297
650	552	296
651	553	295
652	554	294
653	554	293
654	555	292
655	555	291
656	556	290
657	557	289
658	557	288
659	558	287
660	558	286
661	559	285
662	560	284
663	560	283
664	561	282
665	562	281
666	562	280
667	563	279
668	563	278
669	564	277
670	565	277
671	565	276
672	566	275
673	567	274
674	567	273
675	568	272
676	569	271
677	569	270
678	570	269
679	570	268
680	571	267
681	572	266
682	572	265
683	573	265
684	574	264
685	574	263
686	575	262
687	576	261
688	576	260
689	577	259
690	577	258
691	578	257
692	578	256
693	579	255
694	580	254
695	581	253
696	581	252
697	582	251
698	582	251
699	583	250
700	584	249
701	584	248
702	585	247
703	585	246
704	586	245
705	587	244
706	587	243
707	588	242
708	588	241
709	589	240
710	590	239
711	590	238
712	591	238
713	592	237
714	592	236
715	593	235
716	593	234
717	594	233
718	595	232
719	596	231
720	596	230
721	597	229
722	597	229
723	598	228
724	598	227
725	599	226
